participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.age,participant.gender,participant.region,participant.treat,participant.employed,participant.high_school,participant.university,participant.not_student,participant.sharing_inn,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.name,session.config.participation_fee,session.age18to24,session.age25to34,session.age35to44,session.age45to54,session.age55to64,session.age65to99,session.male,session.female,session.nielsenIIIb,session.nielsenII,session.nielsenVII,session.nielsenIV,session.nielsenVVI,session.nielsenI,session.nielsenIIIa,follow_up.1.player.id_in_group,follow_up.1.player.role,follow_up.1.player.payoff,follow_up.1.player.id_cint,follow_up.1.player.treat,follow_up.1.player.age,follow_up.1.player.gender,follow_up.1.player.region,follow_up.1.player.quota_full,follow_up.1.player.policy_intervention,follow_up.1.player.universal_income,follow_up.1.player.tax_credits_innovation,follow_up.1.player.stronger_regulations_ai,follow_up.1.player.education_policies_training,follow_up.1.player.breaking_up_tech_monopolies,follow_up.1.player.lower_taxes_on_labor,follow_up.1.player.higher_taxes_on_capital,follow_up.1.player.minimum_wage_policy,follow_up.1.player.unemployment_benefits,follow_up.1.player.ai_what_is,follow_up.1.player.news_articles_read,follow_up.1.player.search_candidate_policies,follow_up.1.player.search_tvnews,follow_up.1.player.search_google,follow_up.1.player.search_radio,follow_up.1.player.search_blogs,follow_up.1.player.search_podcasts,follow_up.1.player.search_newspapers,follow_up.1.player.search_facebook,follow_up.1.player.search_twitter,follow_up.1.player.search_instagram,follow_up.1.player.search_tiktok,follow_up.1.player.search_other_social,follow_up.1.player.search_verbal,follow_up.1.player.search_websites,follow_up.1.player.search_speech,follow_up.1.player.policy_priority,follow_up.1.player.active,follow_up.1.player.active_community,follow_up.1.player.active_neighborhood,follow_up.1.player.active_work,follow_up.1.player.active_friends,follow_up.1.player.active_family,follow_up.1.player.active_social_media,follow_up.1.player.candidate_voted,follow_up.1.player.party_for_ai,follow_up.1.player.party_for_workers,follow_up.1.player.job_loss_chance,follow_up.1.player.answer1,follow_up.1.player.answer2,follow_up.1.player.answer3,follow_up.1.player.answer4,follow_up.1.player.answer5,follow_up.1.player.answer6,follow_up.1.player.answer7,follow_up.1.player.answer8,follow_up.1.player.selected_most_common_petition,follow_up.1.player.beliefs_optimistic,follow_up.1.player.beliefs_pessimistic,follow_up.1.player.beliefs_balanced,follow_up.1.player.button_optimistic,follow_up.1.player.button_pessimistic,follow_up.1.player.button_neutral,follow_up.1.player.happiness,follow_up.1.player.anger,follow_up.1.player.fear,follow_up.1.player.political_corr,follow_up.1.player.tvnews,follow_up.1.player.google,follow_up.1.player.radio,follow_up.1.player.blogs,follow_up.1.player.podcasts,follow_up.1.player.newspapers,follow_up.1.player.facebook,follow_up.1.player.twitter,follow_up.1.player.instagram,follow_up.1.player.tiktok,follow_up.1.player.other_social,follow_up.1.player.verbal,follow_up.1.player.daily_news_time,follow_up.1.player.main_media_outlet,follow_up.1.group.id_in_subsession,follow_up.1.subsession.round_number
1,loli9lgm,prova,0,14,14,follow_up,Completion,2024-12-10 19:12:56.327823,1,,,0.0,76,männlich,Bremen,optimistic,,,,,,tlwtjoc9,,,,,0,1.0,followup_automationAI_de,0.0,15,55,81,244,239,354,570,418,126,220,89,153,121,146,133,1,,0.0,prova,optimistic,76,männlich,Bremen,0,Ja,0,1,0,0,0,1,0,0,0,"Sie sind sehr große Modelle, die einen aufwendigen Satz vordefinierter Regeln verwenden, um den Kontext zu verstehen und plausible Antworten zu geben.","Ja, zwischen 2 und 5 Artikel/Beiträge","Yes, but only of one candidate",0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,"Yes, I have become more active on these topics",0,0,1,0,0,0,Bündnis Sahra Wagenknecht,Die Linke,,5,1,0,0,0,0,1,0,0,pessimistic,,,0,2,1,3,2,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,30,,1,1
2,iqmdglht,67595e36-e376-8a15-27ae-2bb1b6c5eb8e,0,14,14,follow_up,Completion,2024-12-11 09:41:16.342008,1,,,0.0,33,männlich,Hamburg,pessimistic,,,,,,tlwtjoc9,,,,,0,1.0,followup_automationAI_de,0.0,15,55,81,244,239,354,570,418,126,220,89,153,121,146,133,2,,0.0,67595e36-e376-8a15-27ae-2bb1b6c5eb8e,pessimistic,33,männlich,Hamburg,0,Ja,0,0,0,0,0,0,0,0,1,"Sie sind sehr große Modelle, die einen aufwendigen Satz vordefinierter Regeln verwenden, um den Kontext zu verstehen und plausible Antworten zu geben.","Ja, zwischen 2 und 5 Artikel/Beiträge","Yes, but only of one candidate",0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,"Yes, I will become more active on these topics in the near future",0,0,1,0,0,0,FDP,FDP,CDU/CSU,35,0,1,0,0,0,0,0,0,optimistic,0,50,50,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
3,n2i9mlan,67597965-598e-394e-f52c-13f7d5f4bccf,0,14,14,follow_up,Completion,2024-12-11 11:37:16.448178,1,,,0.0,33,männlich,Sachsen,neutral,,,,,,tlwtjoc9,,,,,0,1.0,followup_automationAI_de,0.0,15,55,81,244,239,354,570,418,126,220,89,153,121,146,133,3,,0.0,67597965-598e-394e-f52c-13f7d5f4bccf,neutral,33,männlich,Sachsen,0,No,0,0,1,0,0,0,0,0,0,"Sie sind sehr große Modelle, die einen aufwendigen Satz vordefinierter Regeln verwenden, um den Kontext zu verstehen und plausible Antworten zu geben.","Ja, zwischen 2 und 5 Artikel/Beiträge","Yes, but only of one candidate",0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,"Yes, I will become more active on these topics in the near future",0,1,0,0,0,0,Bündnis Sahra Wagenknecht,FDP,Die Grünen,59,0,0,0,0,0,0,1,0,balanced,0,100,0,0,0,0,3,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
4,dun2u69q,67597a07-74fb-ed3c-81b6-34c8187287f9,0,14,14,follow_up,Completion,2024-12-11 11:39:56.576884,1,,,0.0,33,männlich,Rheinland-Pfalz,optimistic,,,,,,tlwtjoc9,,,,,0,1.0,followup_automationAI_de,0.0,15,55,81,244,239,354,570,418,126,220,89,153,121,146,133,4,,0.0,67597a07-74fb-ed3c-81b6-34c8187287f9,optimistic,33,männlich,Rheinland-Pfalz,0,No,0,0,0,0,0,1,0,0,0,"Sie sind sehr große Deep-Learning-Modelle, die eine Form der Intelligenz entwickelt haben, indem sie die Funktionsweise des menschlichen Gehirns nachbilden.","Ja, 1 Artikel/Beitrag","Yes, but only of one candidate",0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,"Yes, I will become more active on these topics in the near future",0,0,0,0,1,0,CDU/CSU,Bündnis Sahra Wagenknecht,Andere Partei,53,0,0,0,0,0,0,1,0,balanced,0,100,0,0,0,0,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
5,7nymo73h,6759c293-3f89-38b9-1baa-de8def033a2e,0,14,14,follow_up,Completion,2024-12-11 16:49:30.768613,1,,,0.0,72,männlich,Thüringen,pessimistic,,,,,,tlwtjoc9,,,,,0,1.0,followup_automationAI_de,0.0,15,55,81,244,239,354,570,418,126,220,89,153,121,146,133,5,,0.0,6759c293-3f89-38b9-1baa-de8def033a2e,pessimistic,72,männlich,Thüringen,0,Ja,1,0,0,0,1,0,0,1,0,"Sie sind sehr große Modelle, die einen aufwendigen Satz vordefinierter Regeln verwenden, um den Kontext zu verstehen und plausible Antworten zu geben.","Nein, ich habe nichts gelesen",No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"Yes, I will become more active on these topics in the near future",0,1,0,1,0,0,Bündnis Sahra Wagenknecht,Bündnis Sahra Wagenknecht,Bündnis Sahra Wagenknecht,4,0,0,1,0,0,0,1,0,optimistic,30,20,50,0,0,0,5,2,3,4,1,0,0,0,0,0,0,0,0,0,0,1,60,fensehen,1,1
6,w9u06qvo,6759c298-e93b-b43a-a359-706945f10d20,0,14,14,follow_up,Completion,2024-12-11 16:49:35.866136,1,,,0.0,75,männlich,Sachsen,neutral,,,,,,tlwtjoc9,,,,,0,1.0,followup_automationAI_de,0.0,15,55,81,244,239,354,570,418,126,220,89,153,121,146,133,6,,0.0,6759c298-e93b-b43a-a359-706945f10d20,neutral,75,männlich,Sachsen,0,Ja,0,0,1,0,1,0,0,0,0,"Sie sind sehr große Deep-Learning-Modelle, die eine Form der Intelligenz entwickelt haben, indem sie die Funktionsweise des menschlichen Gehirns nachbilden.","Ja, zwischen 2 und 5 Artikel/Beiträge",Yes,0,1,1,0,0,0,1,1,1,1,0,0,0,0,8,"Yes, I have become more active on these topics",0,1,0,0,0,1,AfD,Bündnis Sahra Wagenknecht,Bündnis Sahra Wagenknecht,44,1,0,0,1,0,1,0,1,optimistic,50,20,30,0,0,0,5,3,4,3,0,0,1,0,0,1,1,0,1,0,0,0,120,"MDR, Fernsehen ",1,1
7,p8406oru,6759c29b-260b-16fd-f6fb-b8268210da33,0,14,14,follow_up,Completion,2024-12-11 16:49:38.782254,1,,,0.0,61,männlich,Berlin,optimistic,,,,,,tlwtjoc9,,,,,0,1.0,followup_automationAI_de,0.0,15,55,81,244,239,354,570,418,126,220,89,153,121,146,133,7,,0.0,6759c29b-260b-16fd-f6fb-b8268210da33,optimistic,61,männlich,Berlin,0,Ja,1,0,1,0,0,0,0,1,1,"Sie sind sehr große Deep-Learning-Modelle, die eine Form der Intelligenz entwickelt haben, indem sie die Funktionsweise des menschlichen Gehirns nachbilden.","Ja, zwischen 2 und 5 Artikel/Beiträge",No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"No, I will not become more active on these topics",0,0,0,0,0,0,Andere Partei,Andere Partei,Andere Partei,6,1,0,0,0,1,0,1,0,optimistic,70,20,10,0,0,0,5,4,2,7,1,0,1,0,0,0,0,0,0,0,0,1,120,TV,1,1
8,ab2cie2p,6759c2b8-45b3-24b3-18d6-2ef5c8912543,0,14,14,follow_up,Completion,2024-12-11 16:50:07.755693,1,,,0.0,64,weiblich,Bayern,pessimistic,,,,,,tlwtjoc9,,,,,0,1.0,followup_automationAI_de,0.0,15,55,81,244,239,354,570,418,126,220,89,153,121,146,133,8,,0.0,6759c2b8-45b3-24b3-18d6-2ef5c8912543,pessimistic,64,weiblich,Bayern,0,No,1,0,0,0,0,0,0,0,0,"Sie sind sehr große Deep-Learning-Modelle, die eine Form der Intelligenz entwickelt haben, indem sie die Funktionsweise des menschlichen Gehirns nachbilden.","Nein, ich habe nichts gelesen",No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"No, I will not become more active on these topics",0,0,0,0,0,0,AfD,Bündnis Sahra Wagenknecht,SPD,0,0,0,0,0,0,0,1,0,balanced,20,60,20,0,0,0,3,5,5,3,0,0,0,0,0,0,1,0,0,0,0,1,1,TV,1,1
9,m6wvv6rc,6759c2c9-07c5-5022-d2b2-9210899b5b6f,0,14,14,follow_up,Completion,2024-12-11 16:50:25.054620,1,,,0.0,72,männlich,Saarland,neutral,,,,,,tlwtjoc9,,,,,0,1.0,followup_automationAI_de,0.0,15,55,81,244,239,354,570,418,126,220,89,153,121,146,133,9,,0.0,6759c2c9-07c5-5022-d2b2-9210899b5b6f,neutral,72,männlich,Saarland,0,No,0,1,0,1,0,0,0,0,0,"Sie sind sehr große Deep-Learning-Modelle, die eine Form der Intelligenz entwickelt haben, indem sie die Funktionsweise des menschlichen Gehirns nachbilden.","Ja, zwischen 2 und 5 Artikel/Beiträge","Yes, but only of one candidate",0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,"Yes, I have become more active on these topics",0,0,0,1,0,1,Die Grünen,Die Grünen,SPD,0,0,0,0,0,0,0,1,0,optimistic,50,30,20,0,0,0,5,1,2,5,1,0,0,0,0,1,0,0,0,0,0,1,60,tv,1,1
10,q1ufnbw5,6759c2e3-32a8-f12e-ff09-467e4f328c40,0,14,14,follow_up,Completion,2024-12-11 16:50:51.843123,1,,,0.0,56,weiblich,Bayern,optimistic,,,,,,tlwtjoc9,,,,,0,1.0,followup_automationAI_de,0.0,15,55,81,244,239,354,570,418,126,220,89,153,121,146,133,10,,0.0,6759c2e3-32a8-f12e-ff09-467e4f328c40,optimistic,56,weiblich,Bayern,0,Ja,0,1,0,1,0,0,0,1,0,"Sie sind sehr große Modelle, die einen aufwendigen Satz vordefinierter Regeln verwenden, um den Kontext zu verstehen und plausible Antworten zu geben.","Nein, ich habe nichts gelesen",No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"No, I will not become more active on these topics",0,0,0,0,0,0,SPD,CDU/CSU,SPD,0,0,0,0,0,0,0,0,1,balanced,20,35,45,0,0,0,4,2,3,4,1,1,0,0,0,0,0,0,0,0,0,1,45,Tv,1,1
