,simpleOcc,year,lswt2010,pct_software,pct_robot,pct_ai,mSML,measure,smlObs,normComputer,normalized_r_cog,normalized_r_man,felten_raj_seamans,freyOsborne,d1_nv,d1_tv,d1_v,d2_nv,d2_tv,d2_v,d3_nv,d3_tv,d3_v,d4_nv,d4_tv,d4_v,d5_nv,d5_tv,d5_v,d6_nv,d6_tv,d6_v,d7_nv,d7_tv,d7_v,d8_nv,d8_tv,d8_v,d9_nv,d9_tv,d9_v,tot_emp,a_mean,wagebill,2011 FE,2012 FE,2013 FE,2014 FE,2015 FE,2016 FE,2017 FE,2018 FE,2019 FE,log a_mean,y,intercept
0,11-1011,2011,1350429.6770359909,30.0,9.0,28.0,2.792064474134868,3.7801975299257915,10.55459335282766,0.7159018123652885,-1.1517316999999998,-1.1690833,4.242041099999999,0.015,0.0151317858849697,0.00642460238303793,483.480041404023,0.00477167290317406,0.00300351875659051,102.162839539626,0.0408213409570025,0.0251801469899063,889.1039691783659,0.00442138843698964,0.57743980485308,-4.11519357371692,0.201285627675534,1.71513038668822,,0.994402962863576,0.981566463812322,0.994401749106707,0.00559703713642423,0.0184335361876781,0.00559825089329291,0.010699788410725,0.00454287991147338,341.872015845137,20.7806606670281,22.1904006146441,81.42690487351271,223260.0,194350.0,43390581000.00009,1,0,0,0,0,0,0,0,0,5.288584544967285,6.183076236269773,1
1,11-1011,2012,1350429.6770359909,30.0,9.0,28.0,2.792064474134868,3.7801975299257915,10.55459335282766,0.7159018123652885,-1.1517316999999998,-1.1690833,4.242041099999999,0.015,0.0211930962659543,0.00797727055744794,653.745412478895,0.00652216802371045,0.00395343569764948,145.557616398529,0.054796153121354996,0.0321189428103269,1254.23444653922,0.006404741546926221,0.586184720388056,-4.1232137298771,0.241985546566223,1.72126974028037,,0.989654196096073,0.9716029668041891,0.9896529612322541,0.0103458039039275,0.0283970331958107,0.0103470387677456,0.0149857820839956,0.00564078210653123,462.267814333423,22.574174542336397,23.9776853288411,88.6431991297025,223260.0,194350.0,43390581000.00009,0,1,0,0,0,0,0,0,0,5.288584544967285,6.484246476840014,1
2,11-1011,2013,1350429.6770359909,30.0,9.0,28.0,2.792064474134868,3.7801975299257915,10.55459335282766,0.7159018123652885,-1.1517316999999998,-1.1690833,4.242041099999999,0.015,0.0366244257377907,0.0161368958432619,1123.4894473045,0.0103310265287308,0.0057848518115285,323.743354864725,0.0848436706731991,0.0461488192549251,2747.5335773506,0.0108238946696772,0.590172925241947,-4.160115642545549,0.313782894658451,1.7240217494052699,,0.966771874092749,0.8836418556925542,0.9667708943599079,0.0332281259072513,0.116358144307446,0.0332291056400922,0.025897379796255,0.0114105084780715,794.427006780537,22.518025421723102,23.779656185886196,91.4884203943956,223260.0,194350.0,43390581000.00009,0,0,1,0,0,0,0,0,0,5.288584544967285,7.02508438701074,1
3,11-1011,2014,1350429.6770359909,30.0,9.0,28.0,2.792064474134868,3.7801975299257915,10.55459335282766,0.7159018123652885,-1.1517316999999998,-1.1690833,4.242041099999999,0.015,0.0230145810640149,0.00987103689851085,891.285811329827,0.00769502089724454,0.00445406391105115,258.021967986153,0.0654852673149615,0.0371095466054069,2248.51199600995,0.00759556842127917,0.588860339282031,-4.155854710584951,0.263343046589533,1.72311928950271,,0.9868799879238191,0.9619209411911059,0.986878993122547,0.0131200120761812,0.0380790588088936,0.013121006877453002,0.0162737663365324,0.00697987712827964,630.234241166675,22.708683853798,24.0661279006024,88.59117682147058,223260.0,194350.0,43390581000.00009,0,0,0,1,0,0,0,0,0,5.288584544967285,6.793786497546717,1
4,11-1011,2015,1350429.6770359909,30.0,9.0,28.0,2.792064474134868,3.7801975299257915,10.55459335282766,0.7159018123652885,-1.1517316999999998,-1.1690833,4.242041099999999,0.015,0.0313479482178676,0.0119533491908667,1321.24684016282,0.009606200457647141,0.0053696859155390395,461.976904738467,0.0818419524977176,0.0441305632079773,4015.93017816396,0.0097413244347353,0.589759000294244,-4.19116646491918,0.297862660884447,1.7237375033779498,,0.97566875373729,0.9403667748396359,0.9756677040796229,0.0243312462627104,0.0596332251603637,0.0243322959203773,0.0221663467611389,0.0084522942707526,934.262600300425,24.7215687565872,25.7822516137163,89.00279973520729,223260.0,194350.0,43390581000.00009,0,0,0,0,1,0,0,0,0,5.288584544967285,7.187087720200614,1
5,11-1011,2016,1350429.6770359909,30.0,9.0,28.0,2.792064474134868,3.7801975299257915,10.55459335282766,0.7159018123652885,-1.1517316999999998,-1.1690833,4.242041099999999,0.015,0.0320413131502731,0.0125311008719871,1066.96975972986,0.0100164772353635,0.00522553964715417,375.123685294543,0.0858320002960293,0.0432242886190307,3260.27346408194,0.010123415821768,0.590954136128654,-4.17280576613893,0.303581596267545,1.7245573490781498,,0.974997664637918,0.938519366352513,0.9749961948274108,0.0250023353620824,0.061480633647486994,0.0250038051725892,0.0226566298066798,0.008860826402314741,754.461552425965,24.7009707929969,25.886660854186896,95.527854038852,223260.0,194350.0,43390581000.00009,0,0,0,0,0,1,0,0,0,5.288584544967285,6.9735147042595855,1
6,11-1011,2017,1350429.6770359909,30.0,9.0,28.0,2.792064474134868,3.7801975299257915,10.55459335282766,0.7159018123652885,-1.1517316999999998,-1.1690833,4.242041099999999,0.015,0.0309686676674437,0.0115928643486341,960.4975652957339,0.00977322471206125,0.0052600570025078,325.479210393229,0.0836422700300581,0.0435441526595892,2823.23734887292,0.00984813501890345,0.590022158703437,-4.163144525000701,0.299472850078774,1.7239182534436799,,0.9766061164376579,0.9475819058411349,0.9766048348154001,0.0233938835623424,0.0524180941588654,0.0233951651845996,0.021898154911962,0.00819739299429497,679.174341733782,24.3683099026715,25.325995584389602,87.13897008494101,223260.0,194350.0,43390581000.00009,0,0,0,0,0,0,1,0,0,5.288584544967285,6.868492032831904,1
7,11-1011,2018,1350429.6770359909,30.0,9.0,28.0,2.792064474134868,3.7801975299257915,10.55459335282766,0.7159018123652885,-1.1517316999999998,-1.1690833,4.242041099999999,0.015,0.0455595758062244,0.0155627008208518,1396.9822239706698,0.0137928601260662,0.0068754115703630395,505.851698119581,0.11809917268398701,0.0564712424641435,4350.93601410341,0.0142488777690457,0.6066650139196079,-4.183106566578,0.35931528359330794,1.7350929190969,,0.947269297212439,0.9114190836244009,0.947267748711748,0.0527307027875608,0.0885809163755991,0.0527322512882515,0.0322154850005639,0.0110044912840017,987.815603766728,27.0961860532509,28.035469983197302,91.6042811063472,223260.0,194350.0,43390581000.00009,0,0,0,0,0,0,0,1,0,5.288584544967285,7.242785207384353,1
8,11-1011,2019,1350429.6770359909,30.0,9.0,28.0,2.792064474134868,3.7801975299257915,10.55459335282766,0.7159018123652885,-1.1517316999999998,-1.1690833,4.242041099999999,0.015,0.0486967427283977,0.0167776188255307,1802.03358907504,0.0147083733454778,0.00692358343983503,728.411038291697,0.126518077165244,0.0571917071042786,6240.8313038387905,0.0151682399528894,0.6062433619548641,-4.21367725135082,0.37053088345553703,1.73481593325509,,0.9394685697021371,0.8911226756596758,0.939466893315535,0.0605314302978632,0.10887732434032402,0.0605331066844652,0.0344337970049467,0.0118635680436958,1274.2301707608901,26.136615899478898,27.266594753825604,90.01729417278379,223260.0,194350.0,43390581000.00009,0,0,0,0,0,0,0,0,1,5.288584544967285,7.497225852577787,1
9,11-1021,2011,9783127.959149064,50.0,26.0,68.0,2.881310947398392,3.8854811730372254,11.195279439782505,0.6044038327063038,-0.40628790000000004,-0.4071999,3.3521471,0.16,0.0310661106633164,0.0040824830070087,5566.9568896997,0.00324820791635721,0.0012436933074299302,779.204614234619,0.0283585282617656,0.0102529120081834,6909.89582124491,0.00318766098772122,0.603620994605741,-5.06233034930932,0.171032040013728,1.7330862329842702,,0.971881674872185,0.97822668452454,0.9718816921950071,0.0281183251278152,0.0217733154754602,0.028118307804992995,0.0219670575151228,0.0028867514183347,3936.43296727983,16.1149142470943,14.4623662428904,49.655958296190995,2188870.0,122090.0,267239138300.00015,1,0,0,0,0,0,0,0,0,5.086680093734625,8.624783459473452,1
