participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.age,participant.gender,participant.region,participant.treat,participant.employed,participant.high_school,participant.university,participant.not_student,participant.sharing_inn,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.name,session.config.real_world_currency_per_point,session.age18to24,session.age25to34,session.age35to44,session.age45to54,session.age55to64,session.age65to99,session.male,session.female,session.northeast,session.midwest,session.south,session.west,initial.1.player.id_in_group,initial.1.player.role,initial.1.player.payoff,initial.1.player.id_cint,initial.1.player.age,initial.1.player.gender,initial.1.player.nationality,initial.1.player.region,initial.1.player.highest_education,initial.1.player.current_employment,initial.1.player.quota_full,initial.1.player.job_title,initial.1.player.job_tasks,initial.1.player.industry_category,initial.1.player.eligible_to_vote,initial.1.player.voting_intention,initial.1.player.closeness_to_party,initial.1.player.political_views_scale,initial.1.player.iintrsts,initial.1.player.charm,initial.1.player.iprotect,initial.1.player.iprivacy,initial.1.player.cprotect,initial.1.player.climchoi,initial.1.player.hequal,initial.1.player.ewealth,initial.1.player.eradeq,initial.1.player.ediscrim,initial.1.player.hrevdis2,initial.1.player.hfeminin,initial.1.group.id_in_subsession,initial.1.subsession.round_number,beliefs.1.player.id_in_group,beliefs.1.player.role,beliefs.1.player.payoff,beliefs.1.player.robots_per_1000_workers,beliefs.1.player.confidence_robots,beliefs.1.player.rank1_robots,beliefs.1.player.rank2_robots,beliefs.1.player.rank3_robots,beliefs.1.player.country_more_robots,beliefs.1.player.sector_more_robots,beliefs.1.player.sector_more_robots_in_country,beliefs.1.player.job_impact_robots_order,beliefs.1.player.job_impact_robots_sign,beliefs.1.player.job_impact_robots,beliefs.1.player.job_impact_robots_overall,beliefs.1.player.confidence_job_impact,beliefs.1.player.ai_what_is,beliefs.1.player.ai_job_impact_future_order,beliefs.1.player.ai_job_impact_future_sign,beliefs.1.player.ai_job_impact_future,beliefs.1.player.confidence_ai_future,beliefs.1.player.low_skill_ai_impact_order,beliefs.1.player.low_skill_ai_impact_sign,beliefs.1.player.low_skill_ai_impact,beliefs.1.player.high_skill_ai_impact_order,beliefs.1.player.high_skill_ai_impact_sign,beliefs.1.player.high_skill_ai_impact,beliefs.1.player.confidence_ai_skill,beliefs.1.player.open_opinion_automation_ai,beliefs.1.group.id_in_subsession,beliefs.1.subsession.round_number,narratives.1.player.id_in_group,narratives.1.player.role,narratives.1.player.payoff,narratives.1.player.treat,narratives.1.player.attention_check,narratives.1.player.cq_answer1,narratives.1.player.cq_answer2,narratives.1.player.cq_answer3,narratives.1.player.cq_answer4,narratives.1.player.cq_answer5,narratives.1.player.button_statements,narratives.1.player.mistake_answer1,narratives.1.player.mistake_answer2,narratives.1.player.mistake_answer3,narratives.1.player.mistake_answer4,narratives.1.player.mistake_answer5,narratives.1.player.policy_intervention,narratives.1.player.policy_intervention_reason1,narratives.1.player.policy_intervention_reason2,narratives.1.player.universal_income,narratives.1.player.tax_credits_innovation,narratives.1.player.stronger_regulations_ai,narratives.1.player.education_policies_training,narratives.1.player.breaking_up_tech_monopolies,narratives.1.player.lower_taxes_on_labor,narratives.1.player.higher_taxes_on_capital,narratives.1.player.minimum_wage_policy,narratives.1.player.unemployment_benefits,narratives.1.player.sharing_inn,narratives.1.player.button_optimistic,narratives.1.player.button_pessimistic,narratives.1.player.button_neutral,narratives.1.group.id_in_subsession,narratives.1.subsession.round_number,final.1.player.id_in_group,final.1.player.role,final.1.player.payoff,final.1.player.job_loss_chance,final.1.player.postal_code,final.1.player.civil_status,final.1.player.num_children,final.1.player.num_adults,final.1.player.num_elderly,final.1.player.annual_gross_household_income,final.1.player.high_school_type,final.1.player.university_major,final.1.player.firm_use_robots_ai,final.1.player.born_in_country,final.1.player.religious_community,final.1.player.trust_in_government,final.1.player.trust_in_political_parties,final.1.player.trust_in_trade_unions,final.1.player.trust_in_tech_tycoons,final.1.player.risk_willingness,final.1.player.feelings_towards_technology,final.1.player.smartphone_os,final.1.player.hours_computer_use_for_work,final.1.player.active_on_social_media,final.1.player.facebook,final.1.player.twitter,final.1.player.instagram,final.1.player.tiktok,final.1.player.linkedin,final.1.player.other_social,final.1.player.time_spent_on_social_media,final.1.player.usage_AI,final.1.player.general_comments,final.1.player.survey_biased,final.1.player.statements_informative,final.1.player.button_link,final.1.group.id_in_subsession,final.1.subsession.round_number
1,kpjrmahm,[%RID%],0,1,21,initial,InformedConsent,2024-10-10 08:15:26.886904,1,,,0.0,,,,optimistic,,,,,,7vbha7nz,,,,,0,0.0,survey_automationAI_us,1.0,483,662,661,651,673,849,1921,2033,692,842,1554,891,1,,0.0,[%RID%],,,,,,,0,,,,,,,,,,,,,,,,,,,,1,1,1,,0.0,,,,,,,,,1,,,,,,0,,,,0,,,1,,,,,1,1,1,,0.0,optimistic,,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,1,,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,1,1
2,b1zyld2z,67078eed-b1ae-bb1b-9cc2-e7d07d603c9e,0,21,21,final,Completion,2024-10-10 08:23:15.677545,1,,,0.0,33,Female,California,pessimistic,1,0,1,1,pessimistic,7vbha7nz,,,,,0,0.0,survey_automationAI_us,1.0,483,662,661,651,673,849,1921,2033,692,842,1554,891,2,,0.0,67078eed-b1ae-bb1b-9cc2-e7d07d603c9e,33,Female,US nationality,California,Master’s degree,Employed,0,manager,yeoyeoy,e,Yes,Democrat,7,10,6,5,6,6,5,6,6,5,6,6,6,5,1,1,2,,0.0,70.0,7,US,China,Republic of Korea,China,Electrics/Electronics,Electrics/Electronics,1,increase,9999.0,remain the same,5,they are very large models that use an elaborated set of pre-defined rules to understand the context and provide plausible answers,0,decrease,12.0,7,1,increase,60.0,0,decrease,22.0,7,asiie we nr-iep ewuroiuwriewr wr owuoruwor uwoeiurouewoir uoeiuro uewi uriewu ru oid uroew ro uewor uoewuroi uewroiewu roi ewor o,1,1,2,,0.0,pessimistic,1,1,0,1,0,0,2,4,1,5,1,1,Yes,uyfuihjk,ftugfhjnb,1,0,0,1,1,0,0,0,0,pessimistic,1,1,1,1,1,2,,0.0,92,93001,Married,,33,,73000,,masters,AI,1,Catholic,10,9,10,10,10,9,iOS (iPhone),9.0,Yes,1,1,1,1,1,0,30,4,kuyguh k uo io,"Yes, right-wing bias",10,0,1,1
3,c3fbkcy3,6707c923-eb78-15e9-dc61-6ab65d98b8e2,0,1,21,initial,InformedConsent,2024-10-10 12:31:39.481602,1,,,0.0,,,,neutral,,,,,,7vbha7nz,,,,,0,0.0,survey_automationAI_us,1.0,483,662,661,651,673,849,1921,2033,692,842,1554,891,3,,0.0,6707c923-eb78-15e9-dc61-6ab65d98b8e2,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,1,3,,0.0,,,,,,,,,0,,,,,,0,,,,1,,,0,,,,,1,1,3,,0.0,neutral,,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,3,,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,1,1
4,7t9jqx1j,6707c932-26c4-50a1-7936-8f6b2a4f86b0,0,21,21,final,Completion,2024-10-10 12:31:51.552679,1,,,0.0,82,Male,Maine,baseline,0,1,0,1,neutral,7vbha7nz,,,,,0,0.0,survey_automationAI_us,1.0,483,662,661,651,673,849,1921,2033,692,842,1554,891,4,,0.0,6707c932-26c4-50a1-7936-8f6b2a4f86b0,82,Male,US nationality,Maine,High school diploma,Retired,0,Sales,Insurance sales,Insurance,Yes,Republican,7,11,6,4,6,6,1,1,6,1,1,1,6,6,1,1,4,,0.0,2.0,3,Germany,US,Japan,Japan,Automotive,Automotive,0,increase,10.0,increase a lot,6,they are very large deep learning models that have developed a form of intelligence by replicating how the human brain works,1,increase,20.0,5,0,decrease,25.0,0,increase,20.0,6,By reduceing the number of repetitive jobs and increasing the number of tech jobs to maintain robots.,1,1,4,,0.0,baseline,,0,0,0,0,0,0,0,0,0,0,0,No,Lack of knowledge,Politics need not get involved.,0,1,0,1,0,1,0,0,0,neutral,2,2,2,1,1,4,,0.0,,04401,Married,0,0,2,76500,none,,Not Applicable,1,Protestant,0,0,0,5,6,9,Android,0.0,No,0,0,0,0,0,0,,1,Good survey.,"No, it did not feel biased",,0,1,1
5,ub06aovg,6707c987-1a7e-b02a-b404-f0842f393510,0,21,21,final,Completion,2024-10-10 12:33:17.614506,1,,,0.0,47,Female,Missouri,optimistic,0,0,1,1,not support,7vbha7nz,,,,,0,0.0,survey_automationAI_us,1.0,483,662,661,651,673,849,1921,2033,692,842,1554,891,5,,0.0,6707c987-1a7e-b02a-b404-f0842f393510,47,Female,US nationality,Missouri,University degree,Currently not employed and not looking for work,0,Pharmacy technician ,Filling prescriptions ,Pharmacy ,No,Do not know,1,2,3,3,3,3,3,3,4,4,4,4,4,4,1,1,5,,0.0,1.0,3,US,Republic of Korea,US,US,Electrics/Electronics,Food,1,decrease,0.0,decrease a little,5,they are very large deep learning models that have developed a form of intelligence by replicating how the human brain works,0,decrease,0.0,3,1,increase,50.0,1,increase,50.0,6,I don't like AI,1,1,5,,0.0,optimistic,1,1,0,1,0,0,0,19,8,19,11,11,No,No comment ,No ,0,0,0,0,0,1,0,1,0,not support,0,0,0,1,1,5,,0.0,,100,,,47,,,,Associate ,None,1,Other,7,5,8,5,10,3,Android,2.0,No,0,0,0,0,0,0,,5,None ,"No, it did not feel biased",5,0,1,1
6,rbpwmfo6,6707c98b-ea16-b805-0f7a-b9bc571a126d,0,13,21,narratives,ControlQuestions,2024-10-10 12:33:22.056972,1,,,0.0,39,Female,Florida,pessimistic,0,1,0,1,,7vbha7nz,,,,,0,0.0,survey_automationAI_us,1.0,483,662,661,651,673,849,1921,2033,692,842,1554,891,6,,0.0,6707c98b-ea16-b805-0f7a-b9bc571a126d,39,Female,No US citizenship,Florida,High school diploma,Retired,0,Good,Vital sign,Health care,No,Do not know,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,,0.0,100.0,1,Japan,US,Russia,China,Food,Food,0,increase,5.0,increase a lot,1,,1,increase,20.0,1,0,increase,20.0,0,decrease,30.0,1,Good income,1,1,6,,0.0,pessimistic,0,0,0,0,0,0,6,12,6,11,5,5,,,,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,6,,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,1,1
7,p4b0lwke,6707c9a3-4581-d98f-a128-54349495b4f4,0,8,21,beliefs,IndustrialRobots,2024-10-10 12:33:58.687115,1,,,0.0,16,Male,California,neutral,1,0,1,1,,7vbha7nz,,,,,0,0.0,survey_automationAI_us,1.0,483,662,661,651,673,849,1921,2033,692,842,1554,891,7,,0.0,6707c9a3-4581-d98f-a128-54349495b4f4,16,Male,US nationality,California,University degree,Self-employed,0,The only thing that ,Really appreciate it and ,Up and I will give ,Yes,Democrat,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,7,,0.0,,,,,,,,,1,,,,,,0,,,,0,,,1,,,,,1,1,7,,0.0,neutral,,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,7,,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,1,1
8,q0uw5avt,6707c9fb-183d-4f69-6926-d2ca64265fd9,0,21,21,final,Completion,2024-10-10 12:35:12.751226,1,,,0.0,44,Female,South Carolina,baseline,0,1,0,1,not support,7vbha7nz,,,,,0,0.0,survey_automationAI_us,1.0,483,662,661,651,673,849,1921,2033,692,842,1554,891,8,,0.0,6707c9fb-183d-4f69-6926-d2ca64265fd9,44,Female,US nationality,South Carolina,High school diploma,Looking for work but currently unemployed,0,The only way I ,The only way I could ,Sales,No,Republican,6,10,5,5,6,6,6,6,6,6,6,6,6,6,1,1,8,,0.0,167.0,6,US,US,US,Republic of Korea,Plastic and Chemical Products,Metal and Machinery,1,decrease,50.0,remain the same,7,,0,decrease,47.0,6,0,decrease,12.0,0,decrease,13.0,7,The only way ,1,1,8,,0.0,baseline,,0,0,0,0,0,0,0,0,0,0,0,No,The only way ,The only way I ,0,0,0,0,0,0,0,0,1,not support,0,0,0,1,1,8,,0.0,,29033,Married,,,,50000,The only way ,,None,1,Protestant,1,1,0,0,3,6,iOS (iPhone),10.0,Yes,1,0,0,0,0,0,10,,No,"Yes, right-wing bias",,0,1,1
9,2z2xy179,6707ca3f-4912-69fd-6ecd-362ee0f01c75,0,13,21,narratives,ControlQuestions,2024-10-10 12:36:22.980995,1,,,0.0,32,Female,Florida,optimistic,0,1,0,1,,7vbha7nz,,,,,0,0.0,survey_automationAI_us,1.0,483,662,661,651,673,849,1921,2033,692,842,1554,891,9,,0.0,6707ca3f-4912-69fd-6ecd-362ee0f01c75,32,Female,US nationality,Florida,High school diploma,Currently not employed and not looking for work,0,Fffgggggffg,Gggcfgggggggg,Gggghgbbbbhbbbb,Yes,Democrat,7,8,6,6,6,6,6,6,6,6,6,6,6,6,1,1,9,,0.0,,4,US,US,US,US,Plastic and Chemical Products,Plastic and Chemical Products,0,increase,1.0,remain the same,4,they are very large deep learning models that have developed a form of intelligence by replicating how the human brain works,1,decrease,1.0,4,0,decrease,1.0,0,decrease,1.0,4,Fffggggggg,1,1,9,,0.0,optimistic,1,0,0,0,0,0,4,60,8,53,17,17,,,,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,9,,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,1,1
10,windttsv,6707ca44-8699-25ae-118c-c9dc635f9dd7,0,1,21,initial,InformedConsent,2024-10-10 12:36:41.154736,1,,,0.0,,,,pessimistic,,,,,,7vbha7nz,,,,,0,0.0,survey_automationAI_us,1.0,483,662,661,651,673,849,1921,2033,692,842,1554,891,10,,0.0,6707ca44-8699-25ae-118c-c9dc635f9dd7,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,1,10,,0.0,,,,,,,,,0,,,,,,1,,,,1,,,0,,,,,1,1,10,,0.0,pessimistic,,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,10,,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,1,1
